SampleName,SampleName,position,Unique ID,ANA plate,Coumaric Acid,Glucose,Trehalose,Tyrosine,Shikimate,FSP_nn,Sample - sampleFunction,Design Id,Colony#,Composition Names,Coumaric Acid_normalization,batch_corrected_Coumaric_acid
PAL_library_Col201,PAL_library_Col201,B04,f30857B04,f30857,0.061,0.0,0.085,,,99.844597,Transformant,PAL library,Col201,,0.2845,0.14042157683893441
PAL_library_Col204,PAL_library_Col204,E04,f30857E04,f30857,0.0,0.0,0.0,,,100.535004,Transformant,PAL library,Col204,,0.2845,0.0
PAL_library_Col205,PAL_library_Col205,G04,f30857G04,f30857,0.064,0.0,0.067,,,99.247803,Transformant,PAL library,Col205,,0.2845,0.14732755602773448
PAL_library_Col207,PAL_library_Col207,A05,f30857A05,f30857,0.197,0.0,0.0,,,95.438004,Transformant,PAL library,Col207,,0.2845,0.45349263339787027
PAL_library_Col211,PAL_library_Col211,E05,f30857E05,f30857,0.065,0.0,0.078,,,98.750999,Transformant,PAL library,Col211,,0.2845,0.14962954909066783
PAL_library_Col212,PAL_library_Col212,F05,f30857F05,f30857,0.06,0.225,0.102,,,99.953903,Transformant,PAL library,Col212,,0.2845,0.1381195837760011
PAL_library_Col216,PAL_library_Col216,B06,f30857B06,f30857,0.187,0.0,0.0,,,100.726997,Transformant,PAL library,Col216,,0.2845,0.4304727027685367
PAL_library_Col218,PAL_library_Col218,D06,f30857D06,f30857,0.06,0.0,0.086,,,99.624199,Transformant,PAL library,Col218,,0.2845,0.1381195837760011
PAL_library_Col22,PAL_library_Col22,G03,f30859G03,f30859,0.166,0.0,0.0,,,104.691002,Transformant,PAL library,Col22,,0.27675,0.3928318929833908
PAL_library_Col220,PAL_library_Col220,F06,f30857F06,f30857,0.056,0.0,0.059,,,100.078003,Transformant,PAL library,Col220,,0.2845,0.1289116115242677
PAL_library_Col221,PAL_library_Col221,G06,f30857G06,f30857,0.066,0.0,0.0,,,100.334999,Transformant,PAL library,Col221,,0.2845,0.1519315421536012
PAL_library_Col227,PAL_library_Col227,E07,f30857E07,f30857,0.0,0.0,0.106,,,100.440002,Transformant,PAL library,Col227,,0.2845,0.0
PAL_library_Col23,PAL_library_Col23,H03,f30859H03,f30859,0.169,0.0,0.061,,,102.285004,Transformant,PAL library,Col23,,0.27675,0.3999312645433315
PAL_library_Col230,PAL_library_Col230,H07,f30857H07,f30857,0.187,0.0,0.055,,,100.337997,Transformant,PAL library,Col230,,0.2845,0.4304727027685367
PAL_library_Col231,PAL_library_Col231,A08,f30857A08,f30857,0.0,0.0,0.1,,,99.842697,Transformant,PAL library,Col231,,0.2845,0.0
PAL_library_Col232,PAL_library_Col232,B08,f30857B08,f30857,0.115,0.0,0.077,,,93.089798,Transformant,PAL library,Col232,,0.2845,0.2647292022373354
PAL_library_Col234,PAL_library_Col234,D08,f30857D08,f30857,0.183,0.0,0.0,,,99.965797,Transformant,PAL library,Col234,,0.2845,0.4212647305168033
PAL_library_Col236,PAL_library_Col236,G08,f30857G08,f30857,0.0,0.0,0.0,,,100.700996,Transformant,PAL library,Col236,,0.2845,0.0
PAL_library_Col237,PAL_library_Col237,H08,f30857H08,f30857,0.06,0.0,0.085,,,100.041,Transformant,PAL library,Col237,,0.2845,0.1381195837760011
PAL_library_Col238,PAL_library_Col238,A09,f30857A09,f30857,0.058,0.0,0.092,,,99.070396,Transformant,PAL library,Col238,,0.2845,0.13351559765013438
PAL_library_Col239,PAL_library_Col239,C09,f30857C09,f30857,0.064,0.0,0.064,,,100.605003,Transformant,PAL library,Col239,,0.2845,0.14732755602773448
PAL_library_Col243,PAL_library_Col243,G09,f30857G09,f30857,0.061,0.0,0.095,,,101.123001,Transformant,PAL library,Col243,,0.2845,0.14042157683893441
PAL_library_Col248,PAL_library_Col248,D10,f30857D10,f30857,0.057,0.0,0.091,,,100.856003,Transformant,PAL library,Col248,,0.2845,0.13121360458720102
PAL_library_Col249,PAL_library_Col249,E10,f30857E10,f30857,0.053,0.0,0.117,,,101.272003,Transformant,PAL library,Col249,,0.2845,0.12200563233546763
PAL_library_Col250,PAL_library_Col250,F10,f30857F10,f30857,0.177,0.0,0.0,,,100.898003,Transformant,PAL library,Col250,,0.2845,0.4074527721392032
PAL_library_Col253,PAL_library_Col253,A11,f30857A11,f30857,0.196,0.0,0.0,,,98.273499,Transformant,PAL library,Col253,,0.2845,0.45119064033493694
PAL_library_Col254,PAL_library_Col254,B11,f30857B11,f30857,0.169,0.0,0.0,,,100.422997,Transformant,PAL library,Col254,,0.2845,0.3890368276357364
PAL_library_Col259,PAL_library_Col259,G11,f30857G11,f30857,0.0,0.0,0.055,0.137,0.178,100.578003,Transformant,PAL library,Col259,,0.2845,0.0
PAL_library_Col26,PAL_library_Col26,C04,f30859C04,f30859,0.055,0.0,0.09,,,102.320999,Transformant,PAL library,Col26,,0.27675,0.13015514526558125
PAL_library_Col260,PAL_library_Col260,H11,f30857H11,f30857,0.185,0.0,0.0,,,100.722,Transformant,PAL library,Col260,,0.2845,0.42586871664267
PAL_library_Col261,PAL_library_Col261,A12,f30857A12,f30857,0.184,0.0,0.0,,,97.811798,Transformant,PAL library,Col261,,0.2845,0.4235667235797366
PAL_library_Col263,PAL_library_Col263,C12,f30857C12,f30857,0.164,0.0,0.0,,,100.443001,Transformant,PAL library,Col263,,0.2845,0.37752686232106963
PAL_library_Col265,PAL_library_Col265,A01,f30861A01,f30861,0.0,0.0,0.0,,,100.696999,Transformant,PAL library,Col265,,0.23525000000000001,0.0
PAL_library_Col267,PAL_library_Col267,C01,f30861C01,f30861,0.153,0.0,0.0,,,94.113403,Transformant,PAL library,Col267,,0.23525000000000001,0.42593966010582096
PAL_library_Col27,PAL_library_Col27,D04,f30859D04,f30859,0.0,0.0,0.083,,,102.397003,Transformant,PAL library,Col27,,0.27675,0.0
PAL_library_Col272,PAL_library_Col272,H01,f30861H01,f30861,0.0,0.0,0.0,,,101.012001,Transformant,PAL library,Col272,,0.23525000000000001,0.0
PAL_library_Col273,PAL_library_Col273,B02,f30861B02,f30861,0.0,0.0,0.0,,,79.049896,Transformant,PAL library,Col273,,0.23525000000000001,0.0
PAL_library_Col274,PAL_library_Col274,C02,f30861C02,f30861,0.144,0.0,0.0,,,98.254097,Transformant,PAL library,Col274,,0.23525000000000001,0.4008843859819491
PAL_library_Col276,PAL_library_Col276,E02,f30861E02,f30861,0.0,0.0,0.0,,,89.413803,Transformant,PAL library,Col276,,0.23525000000000001,0.0
PAL_library_Col278,PAL_library_Col278,G02,f30861G02,f30861,0.0,0.0,0.053,,,99.689598,Transformant,PAL library,Col278,,0.23525000000000001,0.0
PAL_library_Col279,PAL_library_Col279,H02,f30861H02,f30861,0.0,0.0,0.0,,,97.600899,Transformant,PAL library,Col279,,0.23525000000000001,0.0
PAL_library_Col280,PAL_library_Col280,A03,f30861A03,f30861,0.0,0.069,0.059,,,101.876999,Transformant,PAL library,Col280,,0.23525000000000001,0.0
PAL_library_Col281,PAL_library_Col281,B03,f30861B03,f30861,0.092,0.0,0.054,,,94.745201,Transformant,PAL library,Col281,,0.23525000000000001,0.25612057993291193
PAL_library_Col282,PAL_library_Col282,C03,f30861C03,f30861,0.0,0.0,0.0,,,94.705597,Transformant,PAL library,Col282,,0.23525000000000001,0.0
PAL_library_Col284,PAL_library_Col284,E03,f30861E03,f30861,0.0,0.0,0.05,,,100.087997,Transformant,PAL library,Col284,,0.23525000000000001,0.0
PAL_library_Col285,PAL_library_Col285,F03,f30861F03,f30861,0.108,0.0,0.0,,,98.875702,Transformant,PAL library,Col285,,0.23525000000000001,0.3006632894864618
PAL_library_Col286,PAL_library_Col286,G03,f30861G03,f30861,0.133,0.0,0.0,,,96.9412,Transformant,PAL library,Col286,,0.23525000000000001,0.3702612731638836
PAL_library_Col29,PAL_library_Col29,G04,f30859G04,f30859,0.171,0.0,0.0,,,101.092003,Transformant,PAL library,Col29,,0.27675,0.40466417891662537
PAL_library_Col290,PAL_library_Col290,C04,f30861C04,f30861,0.137,0.0,0.0,,,98.6782,Transformant,PAL library,Col290,,0.23525000000000001,0.3813969505522711
PAL_library_Col291,PAL_library_Col291,D04,f30861D04,f30861,0.146,0.0,0.0,,,99.984299,Transformant,PAL library,Col291,,0.23525000000000001,0.40645222467614284
PAL_library_Col293,PAL_library_Col293,G04,f30861G04,f30861,0.0,0.0,0.0,,,99.627197,Transformant,PAL library,Col293,,0.23525000000000001,0.0
PAL_library_Col296,PAL_library_Col296,B05,f30861B05,f30861,0.052,0.0,0.0,,,101.146004,Transformant,PAL library,Col296,,0.23525000000000001,0.14476380604903716
PAL_library_Col297,PAL_library_Col297,C05,f30861C05,f30861,0.0,0.0,0.0,,,94.244698,Transformant,PAL library,Col297,,0.23525000000000001,0.0
PAL_library_Col299,PAL_library_Col299,E05,f30861E05,f30861,0.0,0.0,0.0,,,99.922501,Transformant,PAL library,Col299,,0.23525000000000001,0.0
PAL_library_Col3,PAL_library_Col3,C01,f30859C01,f30859,0.0,0.0,0.052,,,98.481697,Transformant,PAL library,Col3,,0.27675,0.0
PAL_library_Col30,PAL_library_Col30,H04,f30859H04,f30859,0.051,0.0,0.072,,,102.459,Transformant,PAL library,Col30,,0.27675,0.12068931651899353
PAL_library_Col302,PAL_library_Col302,H05,f30861H05,f30861,0.0,0.0,0.0,,,100.511002,Transformant,PAL library,Col302,,0.23525000000000001,0.0
PAL_library_Col304,PAL_library_Col304,B06,f30861B06,f30861,0.051,0.0,0.053,0.1,0.1,96.928101,Transformant,PAL library,Col304,,0.23525000000000001,0.1419798867019403
PAL_library_Col305,PAL_library_Col305,C06,f30861C06,f30861,0.112,0.0,0.0,,,96.064598,Transformant,PAL library,Col305,,0.23525000000000001,0.3117989668748493
PAL_library_Col307,PAL_library_Col307,E06,f30861E06,f30861,0.0,0.0,0.055,,,99.322701,Transformant,PAL library,Col307,,0.23525000000000001,0.0
PAL_library_Col308,PAL_library_Col308,F06,f30861F06,f30861,0.0,0.0,0.0,,,100.950996,Transformant,PAL library,Col308,,0.23525000000000001,0.0
PAL_library_Col31,PAL_library_Col31,A05,f30859A05,f30859,0.156,0.0,0.0,,,102.296997,Transformant,PAL library,Col31,,0.27675,0.36916732111692135
PAL_library_Col312,PAL_library_Col312,B07,f30861B07,f30861,0.0,0.0,0.0,,,100.07,Transformant,PAL library,Col312,,0.23525000000000001,0.0
PAL_library_Col318,PAL_library_Col318,H07,f30861H07,f30861,0.0,0.0,0.105,,,100.500999,Transformant,PAL library,Col318,,0.23525000000000001,0.0
PAL_library_Col320,PAL_library_Col320,B08,f30861B08,f30861,0.0,0.0,0.059,,,81.028999,Transformant,PAL library,Col320,,0.23525000000000001,0.0
PAL_library_Col321,PAL_library_Col321,C08,f30861C08,f30861,0.0,0.0,0.0,,,96.930397,Transformant,PAL library,Col321,,0.23525000000000001,0.0
PAL_library_Col322,PAL_library_Col322,D08,f30861D08,f30861,0.0,0.0,0.06,,,83.100899,Transformant,PAL library,Col322,,0.23525000000000001,0.0
PAL_library_Col324,PAL_library_Col324,G08,f30861G08,f30861,0.0,0.0,0.0,,,98.487801,Transformant,PAL library,Col324,,0.23525000000000001,0.0
PAL_library_Col325,PAL_library_Col325,H08,f30861H08,f30861,0.0,0.0,0.059,,,100.008003,Transformant,PAL library,Col325,,0.23525000000000001,0.0
PAL_library_Col327,PAL_library_Col327,C09,f30861C09,f30861,0.0,0.0,0.0,,,101.181,Transformant,PAL library,Col327,,0.23525000000000001,0.0
PAL_library_Col328,PAL_library_Col328,D09,f30861D09,f30861,0.0,0.0,0.051,,,100.949997,Transformant,PAL library,Col328,,0.23525000000000001,0.0
PAL_library_Col33,PAL_library_Col33,C05,f30859C05,f30859,0.053,0.0,0.066,,,102.209999,Transformant,PAL library,Col33,,0.27675,0.1254222308922874
PAL_library_Col330,PAL_library_Col330,F09,f30861F09,f30861,0.0,0.0,0.0,,,101.547997,Transformant,PAL library,Col330,,0.23525000000000001,0.0
PAL_library_Col332,PAL_library_Col332,H09,f30861H09,f30861,0.0,0.0,0.056,,,99.969704,Transformant,PAL library,Col332,,0.23525000000000001,0.0
PAL_library_Col333,PAL_library_Col333,A10,f30861A10,f30861,0.0,0.0,0.0,,,101.385002,Transformant,PAL library,Col333,,0.23525000000000001,0.0
PAL_library_Col335,PAL_library_Col335,C10,f30861C10,f30861,0.0,0.0,0.0,,,100.253998,Transformant,PAL library,Col335,,0.23525000000000001,0.0
PAL_library_Col342,PAL_library_Col342,B11,f30861B11,f30861,0.142,0.0,0.0,,,98.923698,Transformant,PAL library,Col342,,0.23525000000000001,0.39531654728775534
PAL_library_Col343,PAL_library_Col343,C11,f30861C11,f30861,0.141,0.0,0.0,,,100.938004,Transformant,PAL library,Col343,,0.23525000000000001,0.39253262794065846
PAL_library_Col345,PAL_library_Col345,E11,f30861E11,f30861,0.0,0.0,0.066,,,93.855301,Transformant,PAL library,Col345,,0.23525000000000001,0.0
PAL_library_Col346,PAL_library_Col346,F11,f30861F11,f30861,0.0,0.0,0.062,,,101.432999,Transformant,PAL library,Col346,,0.23525000000000001,0.0
PAL_library_Col347,PAL_library_Col347,G11,f30861G11,f30861,0.0,0.0,0.051,,,101.375,Transformant,PAL library,Col347,,0.23525000000000001,0.0
PAL_library_Col348,PAL_library_Col348,H11,f30861H11,f30861,0.0,0.0,0.063,,,99.694,Transformant,PAL library,Col348,,0.23525000000000001,0.0
PAL_library_Col349,PAL_library_Col349,A12,f30861A12,f30861,0.0,0.0,0.056,,,101.278,Transformant,PAL library,Col349,,0.23525000000000001,0.0
PAL_library_Col35,PAL_library_Col35,E05,f30859E05,f30859,0.0,0.0,0.083,,,103.523003,Transformant,PAL library,Col35,,0.27675,0.0
PAL_library_Col350,PAL_library_Col350,B12,f30861B12,f30861,0.124,0.0,0.0,,,101.403,Transformant,PAL library,Col350,,0.23525000000000001,0.3452059990400117
PAL_library_Col353,PAL_library_Col353,A01,f30858A01,f30858,0.174,0.0,0.0,,,98.847504,Transformant,PAL library,Col353,,0.29,0.39295021584272305
PAL_library_Col355,PAL_library_Col355,C01,f30858C01,f30858,0.176,0.0,0.0,,,103.724998,Transformant,PAL library,Col355,,0.29,0.39746688499034055
PAL_library_Col357,PAL_library_Col357,E01,f30858E01,f30858,0.178,0.0,0.074,,,99.445602,Transformant,PAL library,Col357,,0.29,0.40198355413795805
PAL_library_Col358,PAL_library_Col358,F01,f30858F01,f30858,0.169,0.0,0.0,,,98.689003,Transformant,PAL library,Col358,,0.29,0.3816585429736793
PAL_library_Col36,PAL_library_Col36,F05,f30859F05,f30859,0.0,0.245,0.063,,,102.806,Transformant,PAL library,Col36,,0.27675,0.0
PAL_library_Col360,PAL_library_Col360,H01,f30858H01,f30858,0.054,0.0,0.1,,,98.666298,Transformant,PAL library,Col360,,0.29,0.12195006698567268
PAL_library_Col362,PAL_library_Col362,C02,f30858C02,f30858,0.168,0.0,0.0,,,99.5616,Transformant,PAL library,Col362,,0.29,0.37940020839987054
PAL_library_Col363,PAL_library_Col363,D02,f30858D02,f30858,0.056,0.0,0.115,,,99.168503,Transformant,PAL library,Col363,,0.29,0.12646673613329018
PAL_library_Col364,PAL_library_Col364,E02,f30858E02,f30858,0.191,0.0,0.0,,,98.485397,Transformant,PAL library,Col364,,0.29,0.43134190359747193
PAL_library_Col365,PAL_library_Col365,F02,f30858F02,f30858,0.196,0.0,0.0,,,99.520103,Transformant,PAL library,Col365,,0.29,0.44263357646651563
PAL_library_Col367,PAL_library_Col367,H02,f30858H02,f30858,0.0,0.0,0.066,,,100.839996,Transformant,PAL library,Col367,,0.29,0.0
PAL_library_Col368,PAL_library_Col368,A03,f30858A03,f30858,0.0,0.184,0.1,,,98.330299,Transformant,PAL library,Col368,,0.29,0.0
PAL_library_Col369,PAL_library_Col369,B03,f30858B03,f30858,0.055,0.0,0.0,,,97.214203,Transformant,PAL library,Col369,,0.29,0.12420840155948143
PAL_library_Col37,PAL_library_Col37,G05,f30859G05,f30859,0.0,0.0,0.073,,,101.998001,Transformant,PAL library,Col37,,0.27675,0.0
PAL_library_Col372,PAL_library_Col372,E03,f30858E03,f30858,0.157,0.0,0.052,,,98.267403,Transformant,PAL library,Col372,,0.29,0.3545585280879743
PAL_library_Col373,PAL_library_Col373,F03,f30858F03,f30858,0.057,0.0,0.076,,,99.662804,Transformant,PAL library,Col373,,0.29,0.12872507070709896
PAL_library_Col374,PAL_library_Col374,G03,f30858G03,f30858,0.0,0.0,0.11,,,98.164597,Transformant,PAL library,Col374,,0.29,0.0
PAL_library_Col375,PAL_library_Col375,H03,f30858H03,f30858,0.0,0.0,0.08,,,98.051697,Transformant,PAL library,Col375,,0.29,0.0
PAL_library_Col377,PAL_library_Col377,B04,f30858B04,f30858,0.053,0.0,0.114,,,99.6362,Transformant,PAL library,Col377,,0.29,0.11969173241186393
PAL_library_Col379,PAL_library_Col379,D04,f30858D04,f30858,0.16,0.0,0.0,,,98.527603,Transformant,PAL library,Col379,,0.29,0.3613335318094006
PAL_library_Col38,PAL_library_Col38,H05,f30859H05,f30859,0.0,0.0,0.073,,,102.529999,Transformant,PAL library,Col38,,0.27675,0.0
PAL_library_Col380,PAL_library_Col380,E04,f30858E04,f30858,0.065,0.0,0.091,,,98.363899,Transformant,PAL library,Col380,,0.29,0.14679174729756897
PAL_library_Col382,PAL_library_Col382,H04,f30858H04,f30858,0.052,0.0,0.098,,,98.4142,Transformant,PAL library,Col382,,0.29,0.11743339783805516
PAL_library_Col383,PAL_library_Col383,A05,f30858A05,f30858,0.061,0.0,0.077,,,102.780998,Transformant,PAL library,Col383,,0.29,0.13775840900233394
PAL_library_Col385,PAL_library_Col385,C05,f30858C05,f30858,0.173,0.0,0.0,,,99.011101,Transformant,PAL library,Col385,,0.29,0.3906918812689143
PAL_library_Col386,PAL_library_Col386,D05,f30858D05,f30858,0.054,0.0,0.06,,,101.240997,Transformant,PAL library,Col386,,0.29,0.12195006698567268
PAL_library_Col387,PAL_library_Col387,E05,f30858E05,f30858,0.055,0.0,0.095,,,99.018997,Transformant,PAL library,Col387,,0.29,0.12420840155948143
PAL_library_Col391,PAL_library_Col391,A06,f30858A06,f30858,0.052,0.0,0.087,,,101.181,Transformant,PAL library,Col391,,0.29,0.11743339783805516
PAL_library_Col393,PAL_library_Col393,C06,f30858C06,f30858,0.222,0.0,0.074,,,98.343803,Transformant,PAL library,Col393,,0.29,0.5013502753855432
PAL_library_Col396,PAL_library_Col396,F06,f30858F06,f30858,0.0,0.0,0.092,,,99.259102,Transformant,PAL library,Col396,,0.29,0.0
PAL_library_Col40,PAL_library_Col40,B06,f30859B06,f30859,0.162,0.0,0.0,,,101.579002,Transformant,PAL library,Col40,,0.27675,0.38336606423680303
PAL_library_Col400,PAL_library_Col400,B07,f30858B07,f30858,0.069,0.0,0.112,,,101.549004,Transformant,PAL library,Col400,,0.29,0.15582508559280397
PAL_library_Col401,PAL_library_Col401,C07,f30858C07,f30858,0.174,0.0,0.0,,,99.347298,Transformant,PAL library,Col401,,0.29,0.39295021584272305
PAL_library_Col402,PAL_library_Col402,D07,f30858D07,f30858,0.171,0.0,0.0,,,100.051003,Transformant,PAL library,Col402,,0.29,0.38617521212129685
PAL_library_Col409,PAL_library_Col409,C08,f30858C08,f30858,0.193,0.0,0.0,,,98.205902,Transformant,PAL library,Col409,,0.29,0.43585857274508943
